titre,cineaste,casting,date_sortie,duree_minutes,nationalites,synopsis,status,categories,thematiques,affiche_image,dossier_presse,affiche_photos,bande_annonce_fichier,bande_annonce_url,slug
Father Mother Sister Brother,Jim Jarmush,"Tom Waits, Adam Driver, Mayim Bialik, Charlotte Rampling, Cate Blanchett, Vicky Krieps, Sarah Greene, Indya Moore, Luka Sabbat, Françoise Lebrun",,,,,actuellement,distribution,,https://filmsdulosange.com/wp-content/uploads/sites/2/2025/08/mea-FAther-mother-sister-brother-2.jpg,,,,,father-mother-sister-brother.html
Resurrection,BI Gan,"Jackson Yee, Shu Qi, Mark Chao, Li Gengxi, Huang Jue, Chen Yongzhong, Guo Mucheng, Zhang Zhijian, Chloe, Yan Nan",,,,"Jackson Yee, Shu Qi, Mark Chao, Li Gengxi, Huang Jue, Chen Yongzhong, Guo Mucheng, Zhang Zhijian, ChloeMaayan, Yan Nan",actuellement,distribution,,https://filmsdulosange.com/wp-content/uploads/sites/2/2025/08/mea-Resurrection-vf-1.jpg,,,,,resurrection.html
"Six Jours, ce printemps-là",Joachim Lafosse,"Eye Haïdara, Jules Waringo, Leonis Pinero Müller, Teoudor Pinero Müller, Emmanuelle Devos, Damien Bonnard",,,,,actuellement,distribution,,https://filmsdulosange.com/wp-content/uploads/sites/2/2025/08/mea-6-jours-vf-1.jpg,,,,,six-jours-ce-printemps-la.html
Le Cri des Gardes,Claire Denis,"Isaach De Bankolé, Matt Dillon, Mia Mc, Tom Blyth",,,,"Isaach De Bankolé, Matt Dillon, Mia McKenna-Bruce, Tom Blyth",prochainement,distribution,,https://filmsdulosange.com/wp-content/uploads/sites/2/2025/08/Le-cri-des-gardes-Grande-1030x686.jpeg,,,,,le-cri-des-gardes.html
Victor comme tout le monde,Pascal Bonitzer,"Fabrice Luchini, Chiara Mastroianni, Marie Narbonne, Suzanne, Louise Orry Diquero, Iris Bry, Naidra Ayadi, Sarah Touffic Othman Schmitt, Agnes Sourdillon, Yannick Choirat, David Ayala",,,,"Fabrice Luchini, Chiara Mastroianni, Marie Narbonne, Suzanne de Baecque, Louise Orry Diquero, Iris Bry, Naidra Ayadi, Sarah Touffic Othman Schmitt, Agnes Sourdillon, Yannick Choirat, David Ayala",catalogue,distribution,,https://filmsdulosange.com/wp-content/uploads/sites/2/2025/08/mea-Victor.jpg,,,,,victor-comme-tout-le-monde.html
Raymond Depardon Cinéaste,,,,,,,actuellement,distribution,,https://filmsdulosange.com/wp-content/uploads/sites/2/2025/08/mea-retro-Depardon.jpg,,,,,raymond-depardon-cineaste.html
The Chronology of Water,Kristen Stewart,"Imogen Poots, Thora Birch, Jim Belushi, Charles Carrick, Tom Sturridge, Susanna Flood, Esme Creed Miles, Kim Gordon, Michael Epp",,,,"Imogen Poots, Thora Birch, Jim Belushi, Charles Carrick, Tom Sturridge, Susanna Flood, Esme Creed Miles, Kim Gordon, Michael Epp",catalogue,distribution,,https://filmsdulosange.com/wp-content/uploads/sites/2/2025/08/mea-chronology-vf.jpg,,,,,the-chronology-of-water.html
Oui,Nadav Lapid,"Ariel Bronz, Efrat Dor, Naama Preis, Alexey Serebryakov",,,,,catalogue,distribution,,https://filmsdulosange.com/wp-content/uploads/sites/2/2025/08/OUI-affiche-OK-2-Large-773x1030.jpeg,,,,,oui.html
Miroirs Nº3,Christian Petzold,"Paula Beer, Barbara Auer, Matthias Brandt, Enno Trebs, Philip Froissant",,,,,catalogue,distribution,,https://filmsdulosange.com/wp-content/uploads/sites/2/2025/08/mea-miroirs-n3.jpeg,,,,,miroirs-n3.html
Lettres Siciliennes,Fabio Grassadonia,"Toni Servillo, Elio Germano, Daniela Marra, Barbora Bobulova, Giuseppe Tantillo, Fausto Russo Alesi, Antonia Truppo",,,,,catalogue,distribution,,https://filmsdulosange.com/wp-content/uploads/sites/2/2025/08/mea-lettres-siciliennes-vf.jpeg,,,,,lettres-siciliennes.html
La Cache,Lionel Baier,"Dominique Reymond, Michel Blanc, William Lebghil, Aurélien Gabrielli, Liliane Rovere, Ethan Chimienti, Adrien Barazzone, Larisa Faber, Gilles Privat",,,,,catalogue,distribution,,https://filmsdulosange.com/wp-content/uploads/sites/2/2025/08/mea-La-cache.jpeg,,,,,la-cache.html
Les Damnés,Roberto Minervini,"Jeremiah Knupp, René, Cuyler Ballenger, Noah Carlson, Judah Carlson, Tim Carlson",,,,"Jeremiah Knupp, René W. Solomon, Cuyler Ballenger, Noah Carlson, Judah Carlson, Tim Carlson",catalogue,distribution,,https://filmsdulosange.com/wp-content/uploads/sites/2/2024/04/mea-damnes-vf.jpg,,,,,les-damnes.html
Spectateurs !,Arnaud Desplechin,"Louis Birman, Dominique Païni, Clément Hervieu-Léger, Françoise Lebrun, Sandra Laugier, Olga Milshtein, Milo Machado-Graner, Sam Chemoul, Marilou Poujardieu, Salomé Rose Stein, Micha Lescot, Soshana Felman, Kent Jones, Salif Cissé, Mathieu Amalric",,,,"Louis Birman, Dominique Païni, Clément Hervieu-Léger de la Comédie Française, Françoise Lebrun, Sandra Laugier, Olga Milshtein, Milo Machado-Graner, Sam Chemoul, Marilou Poujardieu, Salomé Rose Stein, Micha Lescot, Soshana Felman, Kent Jones, Salif Cissé, Mathieu Amalric",catalogue,distribution,,https://filmsdulosange.com/wp-content/uploads/sites/2/2024/04/mea-spectateurs-vf-1.jpg,,,,,spectateurs.html
Mon inséparable,Anne-Sophie Bailly,"Laure Calamy, Charles Peccia Galletto, Julie Froger, Geert, Rébecca Finet, Aissatou Diallo Sagna, Pasquale, Jean",,,,"Laure Calamy, Charles Peccia Galletto, Julie Froger, Geert van Rampelberg, Rébecca Finet, Aissatou Diallo Sagna, Pasquale D’inca, Jean de Pange",catalogue,distribution,,https://filmsdulosange.com/wp-content/uploads/sites/2/2025/08/mea-inseparable-vf.jpeg,,,,,mon-inseparable.html
Miséricorde,Alain Guiraudie,"Félix, Catherine, Jacques, Jean-Baptiste, David",,,,"Félix KYSYL, Catherine FROT,  Jacques DEVELAY,  Jean-Baptiste DURAND, David AYALA",catalogue,distribution,,https://filmsdulosange.com/wp-content/uploads/sites/2/2024/04/mea-misericorde-vf.jpg,,,,,misericorde.html
Dahomey,Mati Diop,,,,,"Les intervenants de l’Université d’Abomey-Calavi : IMELDA BATAMOUSSI, DIANE CAKPO, CHAMELIE DOGNON, MORIAS AGBESSI, GILBERT GODOVO, GILDAS ADANNOU, JOSEA GUEDJE, GAËL DAAVO, ROSE OUEMEHO, HABIB AHANDESSI, MARYLINE AGBOSSI, DIDIER SEDOHA NASSANGADE, RAÏMI BASSITOU NOUATIN, JOËL TCHOGBE, EDAH GONTRAN, DONALD GBOSSA, YVON KOSSOU-YOVO, DONALD GBOSSA, EDAH GONTRAN, MESSI BOCO, ODILON GBENONTIN, KEVIN DA-SILVA, DOWOTI DESIR, MICHELINE AYINON, BICAREL GNIKPO, NADIA VIHOUTOU KPONADOU L’équipe des conservateurs et régisseurs de l’exposition : CALIXTE BIAH, ABDOULAYE IMOROU, PAUL TIMOTHEE DOTO, JULES BOCCO, RICHARD J. V. SOGAN, DIDIER DONATIEN ALIHONOU et le commissaire de l’exposition ALAIN GODONOU et Les étudiants de l’INMAAC (promotions 2019 – 2020)",catalogue,distribution,,https://filmsdulosange.com/wp-content/uploads/sites/2/2025/08/mea-Dahomey-vf.jpg,,,,,dahomey.html
L’Amour fou,Jacques Rivette,"Bulle Ogier, Jean-Pierre Kalfon, Josée Destoop, Michèle Moretti, Celia, Françoise Godde, Maddly Bamy, Liliane Bordoni, Yves Beneyton, Dennis Berry, Michel Delahaye, André, Didier Léon, Claude-Eric Richard Et, Patrice Wyers",,,,"Bulle Ogier, Jean-Pierre Kalfon, Josée Destoop, Michèle Moretti, Celia, Françoise Godde, Maddly Bamy, Liliane Bordoni, Yves Beneyton, Dennis Berry, Michel Delahaye, André S. Labarthe, Didier Léon, Claude-Eric Richard 
Et aussi Etienne Becker, Patrice Wyers",catalogue,distribution,,https://filmsdulosange.com/wp-content/uploads/sites/2/2023/04/LAmour-fou-Affiche-1-758x1030.jpg,,,,,lamour-fou.html
La Prisonnière de Bordeaux,Patricia Mazuy,"Isabelle Huppert, Hafsia Herzi",,,,,catalogue,distribution,,https://filmsdulosange.com/wp-content/uploads/sites/2/2024/04/mea-prisonniere-va-1.jpg,,,,,la-prisonniere-de-bordeaux.html
Sons,Gustav Möller,"Sidse Babett Knudsen, Sebastian Bull, Dar Salim, Marina Bouras, Olaf Johannessen",,,,,catalogue,distribution,,https://filmsdulosange.com/wp-content/uploads/sites/2/2023/06/mea-Sons.jpg,,,,,sons.html
C’est pas moi,Leos Carax,"Denis Lavant, Kateryna Yuspina, Nastya Golubeva Carax, Loreta Juodkaite, Anna-Isabel Siefken, Petr Anevskii, Bianca Maddaluno",,41,,,catalogue,distribution,,https://filmsdulosange.com/wp-content/uploads/sites/2/2024/04/mea-Cest-pas-moi-vf.jpg,,,,,cest-pas-moi.html
Averroès & Rosa Parks,Nicolas Philibert,Charenton,,,,"Les patients et soignants des unités intra-hospitalières Averroès et Rosa Parks, hôpital Esquirol, Charenton-le-Pont",catalogue,distribution,,https://filmsdulosange.com/wp-content/uploads/sites/2/2023/06/120x160-Averroes-Rosa-Parks-1-758x1030.jpg,,,,,averroes-rosa-parks.html
Ange,Tony Gatlif,"Arthur, Suzanne Aubert, Maria, Mathieu Amalric, Christine Citti",,,,"Arthur H, Suzanne Aubert, Maria de Medeiros, Mathieu Amalric, Christine Citti",catalogue,distribution,,https://filmsdulosange.com/wp-content/uploads/sites/2/2025/08/mea-Ange-vf.jpeg,,,,,ange.html
La Machine à écrire et autres sources de tracas,Nicolas Philibert,,,,,,catalogue,distribution,,https://filmsdulosange.com/wp-content/uploads/sites/2/2023/06/mea-La-machine.jpg,,,,,la-machine-a-ecrire-et-autres-sources-de-tracas.html
Il n’y a pas d’ombre dans le désert,Yossi Aviram,"Valeria Bruni Tedeschi, Yona Rozenkier, Germaine Unikovsky, Roni Alter, Merav Shirom, Yoel Rozenkier, Zohar Wexler, Cordelia Lange, Shiraz Tsarfati, Edme Bismuth, Aviv Telem",,,,"Valeria Bruni Tedeschi, Yona Rozenkier, Germaine Unikovsky, ​Jackie Berroyer, Roni Alter, Merav Shirom, Yoel Rozenkier, ​Fantine Gelu, ​Alma Aviram, ​Itay Ben Ami, ​Menahem Lang, Zohar Wexler, ​Margeaux Lampley, ​Mai Weisz, Cordelia Lange, Shiraz Tsarfati, Edme Bismuth, ​Alona Nahmias, Aviv Telem, ​Uri Falk et Alexander Aviram dans le rôle de l’accusé",catalogue,distribution,,https://filmsdulosange.com/wp-content/uploads/sites/2/2023/06/mea-ombre.jpg,,,,,il-ny-a-pas-dombre-dans-le-desert.html
Un Silence,Joachim Lafosse,"Daniel Auteuil, Emmanuelle Devos, Matthieu Galoux, Jeanne Cherhal, Louise Chevillotte",,20,,,catalogue,distribution,,https://filmsdulosange.com/wp-content/uploads/sites/2/2023/02/mea-un-silence.jpg,,,,,un-silence.html
Ricardo et la peinture,Barbet Schroeder,,,107,,,catalogue,distribution,,https://filmsdulosange.com/wp-content/uploads/sites/2/2023/02/mea-ricardo-1.jpg,,,,,ricardo-et-la-peinture.html
Anselm – Le Bruit du temps,Wim Wenders,"Anselm Kiefer, Daniel Kiefer, Anton Wenders",,,,"Anselm Kiefer, Daniel Kiefer (le jeune homme), Anton Wenders (le garçon)",catalogue,distribution,,https://filmsdulosange.com/wp-content/uploads/sites/2/2023/04/mea-Anselm.jpg,,,,,anselm-le-bruit-du-temps.html
Rétrospective Wim Wenders,Wim Wenders,,,,,,catalogue,distribution,,https://filmsdulosange.com/wp-content/uploads/sites/2/2023/06/mea-retro-WW.jpg,,,,,retrospective-wim-wenders.html
Le ciel rouge,Christian Petzold,"Thomas Schubert, Paula Beer, Langston Uibel, Enno Trebs, Matthias Brandt",,,,,catalogue,distribution,,https://filmsdulosange.com/wp-content/uploads/sites/2/2023/06/mea-ciel-rouge.jpg,,,,,le-ciel-rouge.html
La Bête dans la jungle,Patric Chiha,"Anaïs Demoustier, Tom Mercier, Béatrice Dalle",,,,,catalogue,distribution,,https://filmsdulosange.com/wp-content/uploads/sites/2/2023/06/mea-jungle.jpg,,,,,la-bete-dans-la-jungle.html
Rétrospective Lars von Trier,Lars Von Trier,,,,,,catalogue,distribution,,https://filmsdulosange.com/wp-content/uploads/sites/2/2023/06/mea-LVT-retro-1.jpg,,,,,retrospective-lars-von-trier.html
Rétrospective Jean Eustache,Jean Eustache,,,,,,catalogue,distribution,,https://filmsdulosange.com/wp-content/uploads/sites/2/2023/05/mea-retro-eustache.jpg,,,,,retrospective-jean-eustache.html
War Pony,Gina Gammell et Riley Keough,"Jojo Bapteise Whiting, Ladainian Crazy Thunder, Jesse Schmockel, Wilma Colhoff, Iona Red Bear, Woodrow Lone Elk, Ta-Yamni Long Black, Jeremy Corbin Cottier",,,,"Jojo Bapteise Whiting, Ladainian Crazy Thunder, Jesse Schmockel, Wilma Colhoff, Iona Red Bear, Woodrow Lone Elk, Ta-Yamni Long Black Cat, Jeremy Corbin Cottier",catalogue,distribution,,https://filmsdulosange.com/wp-content/uploads/sites/2/2022/04/mea-war-pony.jpg,,,,,war-pony.html
Sur l’Adamant,Nicolas Philibert,,,,,Les patients et l’équipe soignante du centre de jour Adamant,catalogue,distribution,,https://filmsdulosange.com/wp-content/uploads/sites/2/2022/04/mea-adamant.jpg,,,,,sur-ladamant.html
El Agua,Elena LÓPEZ RIERA,"Luna, Bárbara, Nieve, Alberto, Irene, Nayara, Lidia María, Pascual",,104,,"Luna PAMIES, Bárbara LENNIE, Nieve DE MEDINA, Alberto OLMO, Irene PELLICER, Nayara GARCIA, Lidia María CANOVAS, Pascual VALERO",catalogue,distribution,,https://filmsdulosange.com/wp-content/uploads/sites/2/2022/04/mea-el-agua.jpg,,,,,el-agua.html
Titina,Kajsa Næss,,,,,,catalogue,distribution,,https://filmsdulosange.com/wp-content/uploads/sites/2/2022/04/mea-Titina-1.jpg,,,,,titina.html
Retour à Séoul,Davy Chou,"Guka, Yoann, Emeline, Louis-Do",,119,,"PARK Ji-Min, OH Kwang-Rok, Guka HAN, KIM Sun-Young, Yoann ZIMMER, HUR Ouk-Sook, Emeline BRIFFAUD, LIM Cheol-Hyun, SON Seung-Beom, Louis-Do de LENCQUESAING",catalogue,distribution,,https://filmsdulosange.com/wp-content/uploads/sites/2/2022/04/mea-RES.jpg,,,,,retour-a-seoul.html
De humani corporis fabrica,Verena PARAVEL et Lucien CASTAING-TAYLOR,,,115,,,catalogue,distribution,,https://filmsdulosange.com/wp-content/uploads/sites/2/2022/04/mea-humani.jpg,,,,,de-humani-corporis-fabrica.html
Par Coeurs,Benoit JACQUOT,"Isabelle Huppert, Fabrice Luchini",,,,,catalogue,distribution,,https://filmsdulosange.com/wp-content/uploads/sites/2/2022/04/mea-par-coeurs.jpg,,,,,par-coeurs.html
Saint Omer,Alice DIOP,"Kayije, Guslagie, Valérie, Aurélia, Xavier, Robert, Salimata, Thomas",,122,,"Kayije KAGAME, Guslagie MALANDA, Valérie DRÉVILLE, Aurélia PETIT, Xavier MALY, Robert CANTARELLA, Salimata KAMATE, Thomas DE POURQUERY",catalogue,distribution,,https://filmsdulosange.com/wp-content/uploads/sites/2/2022/04/mea-st-omer.jpg,,,,,saint-omer.html
Pacifiction – Tourment sur les îles,Play Pacifiction,"Benoît, Pahoa, Matahi, Marc, Sergi, Montse, Michael, Cécile, Alexandre, Mike, Lluis, Mareva, Cyrus, Baptiste, Laurent",,163,,"Benoît MAGIMEL, Pahoa MAHAGAFANAU, Matahi PAMBRUN, Marc SUSINI, Sergi LOPEZ, Montse TRIOLA, Michael VAUTOR, Cécile GUILBERT, Alexandre MELLO, Mike LANDSCAPE, Lluis SERRAT, Mareva WONG, Cyrus ARAI, Baptiste PINTEAUX, Laurent BRISSONNAUD",catalogue,distribution,,https://filmsdulosange.com/wp-content/uploads/sites/2/2022/04/mea-pacifiction-1.jpg,,,,,pacifiction-tourment-sur-les-iles.html
Un beau matin,Mia HANSEN-LØVE,"Léa, Pascal, Melvil, Nicole, Camille",,113,,"Léa SEYDOUX, Pascal GREGGORY, Melvil POUPAUD, Nicole GARCIA, Camille LEBAN MARTINS",catalogue,distribution,,https://filmsdulosange.com/wp-content/uploads/sites/2/2022/09/mea-UBM.jpg,,,,,un-beau-matin.html
Rodeo,Lola Quivoron,"Julie, Yanis, Antonia, Louis, Junior, Ahmed, Dave, Cody, Sébastien, Mohamed, Chris, Mustapha, Gianni, Quentin, Brice",,20,,"Julie LEDRU, Yanis LAFKI, Antonia BURESI, Louis SOTTON, Junior CORREIA, Ahmed HAMDI, Dave NSAMAN OKEBWAN, Cody SCHROEDER, Sébastien SCHROEDER, Mohamed BETTAHAR, Chris MAKODI, Mustapha DIANKA, Gianni CAIRA, Quentin ARIZZI, Brice STRAEHLI",catalogue,distribution,,https://filmsdulosange.com/wp-content/uploads/sites/2/2022/04/mea-rodeo-1.jpg,,,,,rodeo.html
La Dérive des continents,Lionel Baier,"Isabelle Carré, Théodore Pellerin, Ursina Lardi, Tom Villa, Ivan Georgiev, Adama Diop, Elisabeth Owona, Indri Shiroka, David Coco, Mario Opinato, Massimo Cagnina, Sebastiano Tinè, Nicolò Prestigiacomo, Maria Isabella Piana, Rosalinda Musumeci, Maria Antonietta Scornavacca, Nicolas Roussi",,,,"Isabelle Carré, Théodore Pellerin, Ursina Lardi, Tom Villa, Ivan Georgiev, Adama Diop, Elisabeth Owona, Indri Shiroka,  David Coco, Mario Opinato, Massimo Cagnina, Sebastiano Tinè, Nicolò Prestigiacomo, Maria Isabella Piana,  Rosalinda Musumeci, Maria Antonietta Scornavacca, Nicolas Roussi",catalogue,distribution,,https://filmsdulosange.com/wp-content/uploads/sites/2/2022/04/mea-derive-1.jpg,,,,,la-derive-des-continents.html
La maman et la putain,Jean Eustache,"Jean-Pierre Léaud, Bernadette Lafont, Françoise Lebrun, Isabelle Weingarten, Jacques Renard, Jean-Noël Picq, Jean-Claude Biette, Pierre Cottrell, Jean Douchet",,,,,catalogue,distribution,,https://filmsdulosange.com/wp-content/uploads/sites/2/2022/04/mea-vf-maman.jpg,,,,,la-maman-et-la-putain.html
Il Buco,Michelangelo Frammartino,"Paolo Cossi, Jacopo Elia, Denise Trombin, Nicola Lanza",,,,,catalogue,distribution,,https://filmsdulosange.com/wp-content/uploads/sites/2/2022/01/mea-WB.jpg,,,,,il-buco.html
Viens je t’emmène,Alain Guiraudie,"Jean-Charles Clichet, Noémie Lvovsky, Iliès Kadri, Renaud Rutten, Doria Tillier, Michel Masiero, Philippe Fretun, Farida Rahouadj, Miveck Packa, Yves-Robert Viala, Patrick Ligardes",,,,,catalogue,distribution,,https://filmsdulosange.com/wp-content/uploads/sites/2/2021/05/mea-site.jpg,,,,,viens-je-temmene.html
L’HORIZON,Emilie Carpentier,"Tracy Gotoas, Sylvain Le Gall, Clémence Boisnard, Dembélé, Slimane Dazi",,,,"Tracy Gotoas, Sylvain Le Gall, NIIA, Clémence Boisnard,Dembélé, Slimane Dazi",catalogue,distribution,,https://filmsdulosange.com/wp-content/uploads/sites/2/2021/05/LHORIZON_Doc120.jpg,,,,,lhorizon.html
White Building,Kavich Neang,"Piseth Chhun, Sithan Hout, Sokha Uk, Chinnaro Soem, Sovann Tho, Jany Min, Chandalin",,,,"Piseth Chhun, Sithan Hout, Sokha Uk, Chinnaro Soem, Sovann Tho, Jany Min, Chandalin Y",catalogue,distribution,,https://filmsdulosange.com/wp-content/uploads/sites/2/2021/05/mea-WB-1.jpg,,,,,white-building.html
Marcher sur l’eau,Aïssa Maïga,,,,,,catalogue,distribution,,https://filmsdulosange.com/wp-content/uploads/sites/2/2021/05/Marchersurleau_mea-1.jpg,,,,,marcher-sur-leau.html
Les Intranquilles,Joachim Lafosse,"Leïla Bekhti, Damien Bonnard, Gabriel Merz Chammah",,,,,catalogue,distribution,,https://filmsdulosange.com/wp-content/uploads/sites/2/2021/05/588x799.jpg,,,,,les-intranquilles.html
Tom Medina,Tony Gatlif,"David Murgia, Slimane Dazi, Karoline Rose Sun, Suzanne Aubert",,,,,catalogue,distribution,,https://filmsdulosange.com/wp-content/uploads/sites/2/2021/05/TOMMEDINA_MEA.jpg,,,,,tom-medina.html
UNE HISTOIRE A SOI,Amandine Gay,"Joohee Bourgain, Mathieu Anette, Anne-Charlotte, Niyongira Bugingo, Céline Chandralatha Grimaud",,,,"Joohee Bourgain, Mathieu Anette, Anne-Charlotte, Niyongira Bugingo/Nicolas Guieu, Céline Chandralatha Grimaud",catalogue,distribution,,https://filmsdulosange.com/wp-content/uploads/sites/2/2021/01/UHAS_AFFICHE-120-40x60.jpg,,,,,une-histoire-a-soi.html
Bergman Island,Mia Hansen-Løve,"Vicky Krieps, Tim Roth, Mia Wasikowska, Anders Danielsen Lie",,,,,catalogue,distribution,,https://filmsdulosange.com/wp-content/uploads/sites/2/2021/05/Bergmanisland_mea-1.jpg,,,,,bergman-island.html
OSKAR & LILY,,,,,,"LEOPOLD PALLUA, ROSA ZANT,
CHRISTINE OSTERMAYER",catalogue,distribution,,https://filmsdulosange.com/wp-content/uploads/sites/2/2020/01/mea-Oskar-Lily.jpg,,,,,oskar-lily.html
Ondine,Christian Petzold,"Paula Beer, Franz Rogowski, Maryam Zaree, Jacob Matschenz, Anne Ratte-Polle, Rafael Stachowiak, Julia Franz Richter, Gloria Endres, José Barros, Enno Trebs",,,,"Paula Beer, Franz Rogowski, Maryam Zaree, Jacob Matschenz, Anne Ratte-Polle, Rafael Stachowiak, Julia Franz Richter, Gloria Endres de Oliveira, José Barros, Enno Trebs",catalogue,distribution,,https://filmsdulosange.com/wp-content/uploads/sites/2/2020/02/mea-Ondine.jpg,,,,,ondine.html
LE VENERABLE W.,Barbet Schroeder,,,,,,catalogue,production,,https://filmsdulosange.com/wp-content/uploads/sites/2/2017/06/poster-0-le-venerable-w.jpg,,,,,le-venerable-w.html
HAPPY END,Michael Haneke,"Isabelle Huppert, Jean-Louis Trintignant, Mathieu Kassovitz, Fantine Harduin, Franz Rogowski, Laura Verlinden",,,,"Isabelle Huppert, Jean-Louis Trintignant, Mathieu Kassovitz, Fantine Harduin, Franz Rogowski, Laura Verlinden et Toby Jones",catalogue,production,,https://filmsdulosange.com/wp-content/uploads/sites/2/2017/05/poster-0-happy-end.jpg,,,,,happy-end.html
UNE ENFANCE,Philippe Claudel,"Alexi Mathieu, Angélica Sarre, Pierre Deladonchamps, Jules Gauzelin, Patrick",,,,"Alexi Mathieu, Angélica Sarre, Pierre Deladonchamps, Jules Gauzelin, Patrick d’Assumçao",catalogue,production,,https://filmsdulosange.com/wp-content/uploads/sites/2/2015/09/poster-0-une-enfance.jpg,,,,,une-enfance.html
AMNESIA,Barbet Schroeder,"Marthe, Max, Bruno, Corinna",,,,"Marthe KELLER, Max RIEMELT, Bruno GANZ, Corinna KIRCHHOFF",catalogue,production,,https://filmsdulosange.com/wp-content/uploads/sites/2/2015/09/poster-0-amnesia.jpg,,,,,amnesia.html
LES JOURS VENUS,Romain Goupil,"Romain Goupil, Valéria Bruni Tedeschi, Marina Hands, Noémie Lvovsky, Jackie Berroyer",,20,,,catalogue,production,,https://filmsdulosange.com/wp-content/uploads/sites/2/2015/09/poster-0-les-jours-venus.jpg,,,,,les-jours-venus.html
Rétrospective Eric Rohmer,Eric Rohmer,,,,,,catalogue,production,,https://filmsdulosange.com/wp-content/uploads/sites/2/2013/12/poster-0-retrospective-eric-rohmer.jpg,,,,,retrospective-eric-rohmer.html
HEIMAT – 1. Chronique d’un rêve / 2. L’exode,Edgar Reitz,"Jan Dieter Schneider, Antonia Bill, Maximilian Scheidt, Marita Breuer, Rüdiger Kriese, Philine Lembeck, Mélanie Fouché, Eva Zeidler, Reinhard Paulus",,20,,,catalogue,production,,https://filmsdulosange.com/wp-content/uploads/sites/2/2013/08/poster-0-heimat-1-chronique-dun-reve-2-lexode.jpg,,,,,heimat-1-chronique-dun-reve-2-lexode.html
Amour,Michael Haneke,"Jean-Louis Trintignant, Emmanuelle Riva, Isabelle Huppert, Alexandre Tharaud",,,,,catalogue,production,,https://filmsdulosange.com/wp-content/uploads/sites/2/2015/09/poster-0-amour.jpg,,,,,amour.html
De Bon Matin,Jean-Marc Moutout,"Jean-Pierre Darroussin, Valérie Dréville, Laurent Delbecque, Yannick Renier, Xavier Beauvois",,20,,,catalogue,production,,https://filmsdulosange.com/wp-content/uploads/sites/2/2015/09/poster-0-de-bon-matin.jpg,,,,,de-bon-matin.html
Les mains en l’air,Romain Goupil,"Linda Doudaeva, Jules Ritmanic, Valeria Bruni-Tedeschi, Romain Goupil, Hélène Babu, Hippolyte Girardot",,,,,catalogue,production,,https://filmsdulosange.com/wp-content/uploads/sites/2/2019/02/poster-0-les-mains-en-lair.jpg,,,,,les-mains-en-lair.html
Le Ruban Blanc,Michael Haneke,"Christian, Leonie, Ulrich, Ursina, Michael, Burghart",,,,"Christian FRIEDEL, Leonie BENESCH, Ulrich TUKUR, Ursina LARDI, Michael KRANZ, Burghart KLAUSSNER",catalogue,production,,https://filmsdulosange.com/wp-content/uploads/sites/2/2019/02/poster-0-le-ruban-blanc.jpg,,,,,le-ruban-blanc.html
Pour Un Instant La Liberté,,"Navid Akhavan, Fares Fares, Behi Djanati Ataï, Pourya Mahyari, Payam Madjlessi",,,,,catalogue,production,,https://filmsdulosange.com/wp-content/uploads/sites/2/2010/03/poster-0-pour-un-instant-la-liberte.jpg,,,,,pour-un-instant-la-liberte.html
La Fabrique Des Sentiments,Jean-Marc Moutout,"Elsa Zylberstein, Jacques Bonnaffé, Bruno Putzulu, Hiam Abbass, Anne-Katerine Normant, Jean Segani",,7,,,catalogue,production,,https://filmsdulosange.com/wp-content/uploads/sites/2/2015/09/poster-0-la-fabrique-des-sentiments.jpg,,,,,la-fabrique-des-sentiments.html
